step,policy_loss,qf1_loss,qf2_loss,vf_loss,vf_pred,alpha,wall_sec
20300,-53.610755920410156,129.34442138671875,134.4974822998047,13.848450660705566,-9.905177116394043,0.0,1068.8018598556519
20400,-67.72418212890625,121.25819396972656,168.80673217773438,13.83373737335205,-11.27253246307373,0.0,1072.5877599716187
20500,-82.95245361328125,129.16619873046875,133.60923767089844,12.704061508178711,-11.507758140563965,0.0,1075.4176125526428
20600,-47.908077239990234,121.08366394042969,124.80827331542969,13.617703437805176,-7.655711650848389,0.0,1080.5669462680817
20700,-57.732032775878906,116.02039337158203,138.5677032470703,13.912637710571289,-7.861700057983398,0.0,1085.90736246109
20800,-89.49169921875,133.83291625976562,135.98373413085938,12.083023071289062,-10.18654727935791,0.0,1090.4812853336334
20900,-61.6414794921875,119.00262451171875,133.16090393066406,11.57141399383545,-9.394513130187988,0.0,1097.2741374969482
21000,-57.59352493286133,126.8213882446289,130.40060424804688,12.577369689941406,-9.574180603027344,0.0,1104.2079181671143
21100,-30.74415397644043,153.5044708251953,165.2274932861328,14.17131519317627,-11.789239883422852,0.0,1106.6388771533966
21200,-42.81221008300781,121.06568908691406,121.50408935546875,13.063152313232422,-10.176957130432129,0.0,1114.2417306900024
21300,-98.89920043945312,114.9940185546875,112.80464935302734,13.324702262878418,-9.201754570007324,0.0,1118.71044588089
21400,-62.91529846191406,131.61619567871094,131.3795166015625,12.012397766113281,-11.080419540405273,0.0,1123.7148172855377
21500,-21.367639541625977,120.32958984375,121.0903091430664,13.04029369354248,-7.982877731323242,0.0,1129.1670861244202
21600,-49.37181091308594,120.80052185058594,120.27739715576172,13.184858322143555,-9.287542343139648,0.0,1131.5885140895844
21700,-69.22071838378906,129.51922607421875,121.21485137939453,13.476774215698242,-11.877882957458496,0.0,1138.766471862793
21800,-34.28101348876953,118.48667907714844,124.69097900390625,13.972660064697266,-10.5004301071167,0.0,1143.613839149475
21900,-20.341054916381836,138.19004821777344,137.08935546875,15.435468673706055,-8.710593223571777,0.0,1148.538229227066
22000,-89.80889892578125,138.84237670898438,141.29556274414062,13.330845832824707,-11.874320030212402,0.0,1154.479525089264
22100,-70.02259063720703,140.5398406982422,139.9453887939453,13.491500854492188,-12.087921142578125,0.0,1159.4946911334991
22200,-71.15496826171875,128.64744567871094,130.82077026367188,12.678409576416016,-10.359535217285156,0.0,1162.8527264595032
22300,-68.05829620361328,129.63746643066406,121.49557495117188,12.964518547058105,-8.984381675720215,0.0,1168.280427455902
22400,-34.879249572753906,131.70352172851562,129.22996520996094,12.54240894317627,-9.896815299987793,0.0,1172.7197861671448
22500,-52.3181037902832,115.49629974365234,129.6453399658203,14.069917678833008,-9.51651668548584,0.0,1177.1658420562744
22600,-56.31870651245117,118.32559204101562,120.1790771484375,13.152168273925781,-10.024401664733887,0.0,1182.1980004310608
22700,-25.937931060791016,133.7764892578125,167.6923065185547,14.134942054748535,-10.065296173095703,0.0,1189.1936597824097
22800,-18.625001907348633,151.461669921875,145.58438110351562,13.685127258300781,-9.456628799438477,0.0,1193.969227552414
22900,-38.99894714355469,124.45529174804688,134.29119873046875,13.206892967224121,-10.630242347717285,0.0,1199.3742928504944
23000,-39.006256103515625,136.53402709960938,148.95587158203125,14.640316009521484,-9.641974449157715,0.0,1205.6186010837555
23100,-12.198409080505371,146.10986328125,140.61004638671875,12.645689010620117,-9.09472370147705,0.0,1210.3312792778015
23200,-45.639930725097656,133.82427978515625,130.8499755859375,13.306167602539062,-9.24740982055664,0.0,1215.6814692020416
23300,-108.3321304321289,116.61153411865234,127.24337005615234,12.60209846496582,-9.430541038513184,0.0,1219.6122119426727
23400,-28.974079132080078,124.26640319824219,132.67230224609375,13.55639934539795,-10.804903030395508,0.0,1221.146725177765
23500,-54.57508087158203,123.56538391113281,116.67949676513672,13.35866641998291,-10.514946937561035,0.0,1226.8402919769287
23600,-63.34775924682617,127.94692993164062,132.31893920898438,13.698409080505371,-10.17634391784668,0.0,1231.5171937942505
23700,-31.59726333618164,169.80490112304688,150.18121337890625,12.922059059143066,-9.396627426147461,0.0,1236.4868125915527
23800,-46.93288040161133,109.38955688476562,110.72206115722656,12.901986122131348,-9.51329231262207,0.0,1242.4226896762848
23900,-25.85483169555664,154.78610229492188,164.85348510742188,12.925603866577148,-9.13389778137207,0.0,1249.3280036449432
24000,-49.07713317871094,141.10491943359375,144.0912628173828,13.594953536987305,-10.529967308044434,0.0,1252.4686961174011
24100,-172.2991180419922,128.03240966796875,133.19908142089844,13.9504976272583,-10.80411148071289,0.0,1258.799259185791
